n_ind,loc,spd,dt,eng,remark
18,1.08440,0.00,0.45,16.69,elastic-scatter
18,1.08440,0.00,0.24,11.95,elastic-scatter
18,1.08440,0.00,0.33,8.56,elastic-scatter
18,1.08440,0.00,0.06,6.13,elastic-scatter
18,1.08440,0.00,0.11,4.39,elastic-scatter
18,1.08440,0.00,0.10,3.14,elastic-scatter
18,1.08440,0.00,0.06,2.25,elastic-scatter
18,1.08440,0.00,0.52,1.61,elastic-scatter
18,1.08440,0.00,0.27,1.15,elastic-scatter
18,1.08440,0.00,0.07,0.83,captured
19,0.33479,1.00,0,2000017.00,alive
19,1.00000,1.00,0.68,2000017.00,alive
19,1.15885,0.50,0.16,1431964.83,elastic-scatter
19,1.21091,0.25,0.16,1025252.93,elastic-scatter
19,1.20097,0.12,0.13,734056.83,elastic-scatter
19,1.20168,0.06,0.01,525567.32,elastic-scatter
19,1.20199,0.03,0.01,376293.76,elastic-scatter
19,1.20400,0.02,0.06,269417.43,elastic-scatter
19,1.20615,0.01,0.15,192896.50,elastic-scatter
19,1.20667,0.00,0.39,138109.33,elastic-scatter
19,1.20769,0.00,0.32,98883.01,elastic-scatter
19,1.20769,0.00,0.01,70797.89,elastic-scatter
19,1.20777,0.00,0.08,50689.62,elastic-scatter
19,1.20776,0.00,0.02,36292.57,elastic-scatter
19,1.20782,0.00,0.24,25984.62,elastic-scatter
19,1.20781,0.00,0.11,18604.37,elastic-scatter
19,1.20777,0.00,0.68,13320.29,elastic-scatter
19,1.20777,0.00,0.03,9537.01,elastic-scatter
19,1.20777,0.00,0.14,6828.28,elastic-scatter
19,1.20777,0.00,0.35,4888.88,elastic-scatter
19,1.20777,0.00,0.01,3500.32,elastic-scatter
19,1.20777,0.00,0.16,2506.15,elastic-scatter
19,1.20777,0.00,0.02,1794.34,elastic-scatter
19,1.20777,0.00,0.05,1284.71,elastic-scatter
19,1.20777,0.00,0.27,919.82,elastic-scatter
19,1.20777,0.00,0.25,658.57,elastic-scatter
19,1.20777,0.00,0.36,471.52,elastic-scatter
19,1.20777,0.00,0.25,337.60,elastic-scatter
19,1.20777,0.00,0.06,241.71,elastic-scatter
19,1.20777,0.00,0.95,173.06,elastic-scatter
19,1.20777,0.00,0.04,123.91,elastic-scatter
19,1.20777,0.00,0.41,88.71,elastic-scatter
19,1.20777,0.00,0.03,63.52,elastic-scatter
19,1.20777,0.00,0.16,45.48,captured
20,0.49764,1.00,0,916091.74,alive
20,1.00000,1.00,1.39,916091.74,alive
20,1.27331,0.50,0.28,655900.00,captured
21,0.59983,1.00,0,0.37,alive
21,1.00000,1.00,0.57,0.37,alive
21,1.14511,0.50,0.17,0.27,captured
22,0.23243,1.00,0,2000022.00,alive
22,1.00000,1.00,0.92,2000022.00,alive
22,1.00795,0.50,0.01,1431968.41,elastic-scatter
22,1.01658,0.25,0.02,1025255.49,elastic-scatter
22,1.01232,0.13,0.65,734058.67,elastic-scatter
22,1.01602,0.06,0.03,525568.63,elastic-scatter
22,1.01512,0.03,0.10,376294.70,elastic-scatter
22,1.01845,0.02,0.30,269418.10,elastic-scatter
22,1.01882,0.01,0.04,192896.98,elastic-scatter
22,1.01819,0.00,0.25,138109.67,elastic-scatter
22,1.01644,0.00,0.45,98883.26,elastic-scatter
22,1.01631,0.00,0.11,70798.07,elastic-scatter
22,1.01626,0.00,0.16,50689.74,elastic-scatter
22,1.01650,0.00,0.50,36292.66,elastic-scatter
22,1.01653,0.00,0.18,25984.68,elastic-scatter
22,1.01649,0.00,0.32,18604.42,elastic-scatter
22,1.01650,0.00,0.12,13320.32,elastic-scatter
22,1.01650,0.00,0.04,9537.04,elastic-scatter
22,1.01649,0.00,0.37,6828.29,elastic-scatter
22,1.01649,0.00,0.02,4888.90,elastic-scatter
22,1.01649,0.00,0.37,3500.33,elastic-scatter
22,1.01649,0.00,0.10,2506.16,elastic-scatter
22,1.01649,0.00,0.04,1794.35,elastic-scatter
22,1.01649,0.00,0.03,1284.71,elastic-scatter
22,1.01649,0.00,0.01,919.82,elastic-scatter
22,1.01649,0.00,0.20,658.57,elastic-scatter
22,1.01649,0.00,0.45,471.52,elastic-scatter
22,1.01649,0.00,0.01,337.60,elastic-scatter
22,1.01649,0.00,0.08,241.71,elastic-scatter
22,1.01649,0.00,0.02,173.06,elastic-scatter
22,1.01649,0.00,0.60,123.91,elastic-scatter
22,1.01649,0.00,0.25,88.71,elastic-scatter
22,1.01649,0.00,0.12,63.52,elastic-scatter
22,1.01649,0.00,0.00,45.48,elastic-scatter
22,1.01649,0.00,0.23,32.56,elastic-scatter
22,1.01649,0.00,0.33,23.31,elastic-scatter
22,1.01649,0.00,0.09,16.69,elastic-scatter
22,1.01649,0.00,0.06,11.95,elastic-scatter
22,1.01649,0.00,0.05,8.56,elastic-scatter
22,1.01649,0.00,0.37,6.13,elastic-scatter
22,1.01649,0.00,0.27,4.39,elastic-scatter
22,1.01649,0.00,0.12,3.14,elastic-scatter
22,1.01649,0.00,0.80,2.25,elastic-scatter
22,1.01649,0.00,0.21,1.61,elastic-scatter
22,1.01649,0.00,0.22,1.15,elastic-scatter
22,1.01649,0.00,0.01,0.83,captured
23,0.63598,1.00,0,2000049.00,alive
23,1.00000,1.00,0.37,2000049.00,alive
23,1.48428,0.50,0.49,1431987.75,elastic-scatter
23,1.45992,0.25,0.07,1025269.33,elastic-scatter
23,1.50971,0.12,0.43,734068.58,escaped
24,0.08034,1.00,0,0.33,alive
24,1.00000,1.00,0.97,0.33,alive
24,1.39763,0.50,0.40,0.23,captured
25,0.58656,1.00,0,8071.79,alive
25,1.00000,1.00,0.54,8071.79,alive
25,1.29258,0.50,0.32,5779.21,elastic-scatter
25,1.26906,0.25,0.25,4137.78,elastic-scatter
25,1.26066,0.12,0.06,2962.55,captured
26,0.65446,1.00,0,1047.74,alive
26,1.00000,1.00,1.01,1047.74,alive
26,1.13240,0.50,0.16,750.16,captured
27,0.97388,1.00,0,0.45,alive
27,1.00000,1.00,0.52,0.45,alive
27,1.18911,0.50,0.41,0.32,captured
28,0.98948,1.00,0,2000011.00,alive
28,1.00000,1.00,1.84,2000011.00,alive
28,1.15622,0.50,0.17,1431960.54,elastic-scatter
28,1.12874,0.25,0.21,1025249.85,elastic-scatter
28,1.14156,0.12,0.05,734054.63,elastic-scatter
28,1.13849,0.06,0.11,525565.74,elastic-scatter
28,1.13692,0.03,0.12,376292.63,elastic-scatter
28,1.09438,0.02,1.51,269416.62,elastic-scatter
28,1.09553,0.01,0.11,192895.92,elastic-scatter
28,1.09494,0.00,0.08,138108.91,elastic-scatter
28,1.09503,0.00,0.03,98882.71,elastic-scatter
28,1.09583,0.00,0.67,70797.68,elastic-scatter
28,1.09574,0.00,0.68,50689.46,elastic-scatter
28,1.09569,0.00,0.19,36292.46,elastic-scatter
28,1.09568,0.00,0.03,25984.54,elastic-scatter
28,1.09571,0.00,0.29,18604.32,elastic-scatter
28,1.09571,0.00,0.06,13320.25,elastic-scatter
28,1.09572,0.00,0.18,9536.98,elastic-scatter
28,1.09571,0.00,0.02,6828.25,elastic-scatter
28,1.09572,0.00,0.22,4888.87,elastic-scatter
28,1.09571,0.00,0.30,3500.31,elastic-scatter
28,1.09571,0.00,0.09,2506.14,elastic-scatter
28,1.09571,0.00,0.67,1794.34,elastic-scatter
28,1.09571,0.00,0.06,1284.70,elastic-scatter
28,1.09571,0.00,1.08,919.82,elastic-scatter
28,1.09571,0.00,0.18,658.57,elastic-scatter
28,1.09571,0.00,0.36,471.52,elastic-scatter
28,1.09571,0.00,0.03,337.60,elastic-scatter
28,1.09571,0.00,0.20,241.71,elastic-scatter
28,1.09571,0.00,0.16,173.06,elastic-scatter
28,1.09571,0.00,0.02,123.91,captured
29,0.32571,1.00,0,2000063.00,alive
29,1.00000,1.00,1.32,2000063.00,alive
29,1.06408,0.50,0.06,1431997.77,elastic-scatter
29,0.83975,0.25,0.80,1025276.51,back-scatter
30,0.06248,1.00,0,2000017.00,alive
30,1.00000,1.00,0.94,2000017.00,alive
30,1.42734,0.50,0.43,1431964.83,elastic-scatter
30,1.42329,0.25,0.01,1025252.93,captured
31,0.12389,1.00,0,0.38,alive
31,1.00000,1.00,1.05,0.38,alive
31,1.09574,0.50,0.10,0.27,captured
